Time [s],Channel 0,Channel 1,Channel 2
3.998759625,1,0,0
3.998761000,0,0,0
3.998761313,0,1,0
3.998762437,1,1,0
3.998763875,0,1,0
3.998764500,0,0,0
3.998765250,1,0,0
3.998766625,0,0,0
3.998767438,0,1,0
3.998768062,1,1,0
3.998769438,0,1,0
3.998770063,0,0,0
3.998770875,1,0,0
3.998772250,0,0,0
3.998773687,1,0,0
3.998775063,0,0,0
3.998776500,1,0,0
3.998777875,0,0,0
3.998779250,1,0,0
3.998780625,0,0,0
3.998782063,1,0,0
3.998783438,0,0,0
3.998806125,1,0,0
3.998807500,0,0,0
3.998807750,0,1,0
3.998808125,0,0,0
3.998808875,1,0,0
3.998810625,1,1,0
3.998882375,1,0,0
3.998883687,0,0,0
3.998885062,1,0,0
3.998886437,0,0,0
3.998887250,0,1,0
3.998887875,1,1,0
3.998889250,0,1,0
3.998890687,1,1,0
3.998892062,0,1,0
3.998893500,1,1,0
3.998894875,0,1,0
3.998896312,1,1,0
3.998897687,0,1,0
3.998898313,0,0,0
3.998899063,1,0,0
3.998900438,0,0,0
3.998901875,1,0,0
3.998903250,0,0,0
3.998904688,1,0,0
3.998906063,0,0,0
3.998907500,1,0,0
3.998908875,0,0,0
3.998909125,0,1,0
3.998909500,0,0,0
3.998910313,1,0,0
3.998911688,0,0,0
3.998913062,1,0,0
3.998914437,0,0,0
3.998915938,1,0,0
3.998917250,0,0,0
3.998918687,1,0,0
3.998920062,0,0,0
3.998921500,1,0,0
3.998922875,0,0,0
3.998924312,1,0,0
3.998925625,0,0,0
3.998927062,1,0,0
3.998928438,0,0,0
3.998929875,1,0,0
3.998931250,0,0,0
3.998932687,1,0,0
3.998934063,0,0,0
3.998934375,0,1,0
3.998935500,1,1,0
3.998936875,0,1,0
3.998938312,1,1,0
3.998939688,0,1,0
3.998940312,0,0,0
3.998941125,1,0,0
3.998942437,0,0,0
3.998943875,1,0,0
3.998945250,0,0,0
3.998946688,1,0,0
3.998948062,0,0,0
3.998949500,1,0,0
3.998950875,0,0,0
3.998952313,1,0,0
3.998953687,0,0,0
3.998955125,1,0,0
3.998956437,0,0,0
3.998979125,1,0,0
3.998980500,0,0,0
3.998980750,0,1,0
3.998981125,0,0,0
3.998981937,1,0,0
3.998983625,1,1,0
5.007920312,1,0,0
5.007921562,0,0,0
5.007923000,1,0,0
5.007924375,0,0,0
5.007925187,0,1,0
5.007925750,1,1,0
5.007927125,0,1,0
5.007928563,1,1,0
5.007929938,0,1,0
5.007931375,1,1,0
5.007932750,0,1,0
5.007934188,1,1,0
5.007935563,0,1,0
5.007936188,0,0,0
5.007937000,1,0,0
5.007938375,0,0,0
5.007939813,1,0,0
5.007941125,0,0,0
5.007942563,1,0,0
5.007943938,0,0,0
5.007945375,1,0,0
5.007946750,0,0,0
5.007947063,0,1,0
5.007947375,0,0,0
5.007948188,1,0,0
5.007949563,0,0,0
5.007951000,1,0,0
5.007952375,0,0,0
5.007953813,1,0,0
5.007955125,0,0,0
5.007956563,1,0,0
5.007957937,0,0,0
5.007959375,1,0,0
5.007960750,0,0,0
5.007962188,1,0,0
5.007963563,0,0,0
5.007965000,1,0,0
5.007966375,0,0,0
5.007967812,1,0,0
5.007969125,0,1,0
5.007969187,0,0,0
5.007970562,1,0,0
5.007971937,0,0,0
5.007972250,0,1,0
5.007973375,1,1,0
5.007974750,0,1,0
5.007975375,0,0,0
5.007976187,1,0,0
5.007977562,0,0,0
5.007978375,0,1,0
5.007979000,1,1,0
5.007980375,0,1,0
5.007981000,0,0,0
5.007981812,1,0,0
5.007983187,0,0,0
5.007983937,0,1,0
5.007984562,1,1,0
5.007985937,0,1,0
5.007987375,1,1,0
5.007988750,0,1,0
5.007990187,1,1,0
5.007991562,0,1,0
5.007992188,0,0,0
5.007993000,1,0,0
5.007994375,0,0,0
5.008017000,1,0,0
5.008018375,0,0,0
5.008018687,0,1,0
5.008019000,0,0,0
5.008019812,1,0,0
5.008021500,1,1,0
5.008117438,1,0,0
5.008118687,0,0,0
5.008120125,1,0,0
5.008121500,0,0,0
5.008122313,0,1,0
5.008122937,1,1,0
5.008124312,0,1,0
5.008125687,1,1,0
5.008127062,0,1,0
5.008128500,1,1,0
5.008129875,0,1,0
5.008131312,1,1,0
5.008132687,0,1,0
5.008133313,0,0,0
5.008134125,1,0,0
5.008135500,0,0,0
5.008136937,1,0,0
5.008138312,0,0,0
5.008139687,1,0,0
5.008141063,0,0,0
5.008142500,1,0,0
5.008143875,0,0,0
5.008144188,0,1,0
5.008144500,0,0,0
5.008145312,1,0,0
5.008146688,0,0,0
5.008148125,1,0,0
5.008149500,0,0,0
5.008150937,1,0,0
5.008152313,0,0,0
5.008153688,1,0,0
5.008155063,0,0,0
5.008156500,1,0,0
5.008157875,0,0,0
5.008159313,1,0,0
5.008160688,0,0,0
5.008162125,1,0,0
5.008163500,0,0,0
5.008164938,1,0,0
5.008166313,0,0,0
5.008167688,1,0,0
5.008169063,0,0,0
5.008169375,0,1,0
5.008169687,0,0,0
5.008170500,1,0,0
5.008171875,0,0,0
5.008173313,1,0,0
5.008174688,0,0,0
5.008175500,0,1,0
5.008176125,1,1,0
5.008177500,0,1,0
5.008178125,0,0,0
5.008178938,1,0,0
5.008180313,0,0,0
5.008181687,1,0,0
5.008183062,0,0,0
5.008184500,1,0,0
5.008185875,0,0,0
5.008187312,1,0,0
5.008188687,0,0,0
5.008190125,1,0,0
5.008191500,0,0,0
5.008192937,1,0,0
5.008194312,0,0,0
5.008194562,0,1,0
5.008194937,0,0,0
5.008195687,1,0,0
5.008197062,0,0,0
5.008198500,1,0,0
5.008199875,0,0,0
5.008201312,1,0,0
5.008202687,0,0,0
5.008204125,1,0,0
5.008205500,0,0,0
5.008206937,1,0,0
5.008208312,0,0,0
5.008209750,1,0,0
5.008211125,0,0,0
5.008212500,1,0,0
5.008213875,0,0,0
5.008215312,1,0,0
5.008216688,0,0,0
5.008239375,1,0,0
5.008240750,0,0,0
5.008241000,0,1,0
5.008241375,0,0,0
5.008242125,1,0,0
5.008243875,1,1,0
5.008304062,1,0,0
5.008305313,0,0,0
5.008306750,1,0,0
5.008308125,0,0,0
5.008308937,0,1,0
5.008309500,1,1,0
5.008310875,0,1,0
5.008312313,1,1,0
5.008313688,0,1,0
5.008315125,1,1,0
5.008316500,0,1,0
5.008317938,1,1,0
5.008319313,0,1,0
5.008319937,0,0,0
5.008320750,1,0,0
5.008322125,0,0,0
5.008323563,1,0,0
5.008324875,0,0,0
5.008326313,1,0,0
5.008327687,0,0,0
5.008329125,1,0,0
5.008330500,0,0,0
5.008330812,0,1,0
5.008331125,0,0,0
5.008331938,1,0,0
5.008333312,0,0,0
5.008334750,1,0,0
5.008336125,0,0,0
5.008337563,1,0,0
5.008338875,0,0,0
5.008340312,1,0,0
5.008341687,0,0,0
5.008343125,1,0,0
5.008344500,0,0,0
5.008345937,1,0,0
5.008347312,0,0,0
5.008348750,1,0,0
5.008350125,0,0,0
5.008351562,1,0,0
5.008352875,0,1,0
5.008352937,0,0,0
5.008354312,1,0,0
5.008355687,0,0,0
5.008356000,0,1,0
5.008357125,1,1,0
5.008358500,0,1,0
5.008359125,0,0,0
5.008359937,1,0,0
5.008361312,0,0,0
5.008362750,1,0,0
5.008364125,0,0,0
5.008365562,1,0,0
5.008366875,0,1,0
5.008366937,0,0,0
5.008367687,0,1,0
5.008368375,1,1,0
5.008369750,0,1,0
5.008371125,1,1,0
5.008372500,0,1,0
5.008373125,1,0,0
5.008373188,0,0,0
5.008373938,1,0,0
5.008375313,0,0,0
5.008376125,0,1,0
5.008376750,1,1,0
5.008378125,0,1,0
5.008378188,0,0,0
5.008379563,1,0,0
5.008380938,0,0,0
5.008381188,0,1,0
5.008381563,0,0,0
5.008382375,1,0,0
